ticket_id,customer_id,date_created,category,subcategory,priority,issue_description,resolution,resolution_time_hours,customer_satisfaction,agent_id
JIO-T1065,CUST-9463,2025-03-09,Account,Number Transfer,High,"I'm changing jobs and need to transfer my current Jio number from corporate to individual account","We can transfer your number from corporate to individual account while preserving the same mobile number. This requires: 1) NoC (No Objection Certificate) from your current employer on company letterhead, 2) Your ID proof and address proof, 3) Completion of a new individual connection form. Visit any Jio Store with these documents to process the transfer. Based on your usage, we recommend our ₹599 plan which closely matches your current corporate benefits. There will be a nominal transfer fee of ₹99 and the process takes 24-48 hours to complete.",2.0,5,AG-128
JIO-T1066,CUST-3756,2025-03-10,Technical,eSIM Issues,Medium,"My eSIM stopped working after a phone software update","This is a known issue with certain software updates that reset the eSIM profile. To restore your eSIM: 1) Go to Settings > Mobile Data > Add Data Plan, 2) Scan the QR code from your original eSIM activation email, 3) If you don't have the QR code, we can regenerate and send it to your registered email within 10 minutes. We've also remotely refreshed your eSIM profile which should help resolve the issue. Please restart your device after attempting these steps. If the issue persists, a full network settings reset may be required.",1.7,4,AG-144
JIO-T1067,CUST-7329,2025-03-11,Data Services,Live TV Buffering,Medium,"JioTV live channels buffer constantly despite my high-speed connection","Based on our diagnostics, your connection speed is sufficient (18Mbps) but packet loss is high (7%) which causes buffering in live streaming. This could be due to network congestion or signal interference. Try these steps: 1) Switch to a lower quality stream temporarily (360p), 2) Connect via Wi-Fi instead of mobile data if possible, 3) Clear the app cache. We've also applied Quality of Service prioritization to your account for streaming traffic, which should improve performance immediately. This optimization will remain active on your account for the next 30 days.",1.2,4,AG-137
JIO-T1068,CUST-1923,2025-03-12,Network,International Network,Low,"Which networks will my Jio SIM automatically connect to in Thailand?","In Thailand, your Jio SIM will automatically connect to our preferred partner networks: AIS (primary) and True Move (secondary). You don't need to manually select networks unless you face connectivity issues. To ensure seamless connectivity: 1) Enable data roaming before departure, 2) Restart your phone upon landing, 3) Ensure you have an international roaming pack activated. Our 'Thailand Pack' is priced at ₹1299 for 7 days and includes 3GB data, 100 minutes, and 100 SMS. Without a pack, pay-as-you-go rates are quite high at ₹10/MB and ₹25/minute for calls.",0.8,5,AG-121
JIO-T1069,CUST-5487,2025-03-13,Billing,Family Add-on,Medium,"How do I add my daughter's number to my account for simplified billing?","To consolidate billing for family members: 1) Go to MyJio app > Family & Friends > Add Member, 2) Enter your daughter's Jio number and verify with OTP, 3) Choose whether to allow data sharing across numbers and set usage limits if desired. This will provide a single consolidated bill while maintaining separate accounts. Each number can have its own plan, but payment will be centralized to your account. We recommend our 'JioTogether' family plan which offers 5GB/day shared data across 4 connections at ₹999/month, potentially saving you ₹500 compared to individual plans.",1.0,5,AG-130
JIO-T1070,CUST-8152,2025-03-14,Account,Security Alert,High,"I received a message that my Jio account was accessed from an unknown location","We've detected a login attempt from an unrecognized device in Mumbai (your registered location is Delhi). As a security measure, we've temporarily locked your account and sent an OTP to your alternate contact number for verification. After confirming it's you, we recommend: 1) Changing your JioID password immediately, 2) Enabling two-factor authentication in the security settings, 3) Reviewing all linked devices and removing any unrecognized devices. We've also added an extra security flag that will notify you of any login attempts from new locations or devices.",0.6,5,AG-112
JIO-T1071,CUST-2294,2025-03-15,Technical,Call Forwarding,Low,"How do I set up call forwarding to my office landline when I'm in meetings?","To set up call forwarding: 1) Dial *21*landline number# to activate unconditional call forwarding to your office number, 2) Dial #21# to deactivate it when no longer needed. Alternatively, for more specific control: Use *61*number# for forwarding when not answered, *62*number# for forwarding when out of coverage, or *67*number# for forwarding when busy. Standard call charges apply for forwarded calls as per your plan. You can also schedule call forwarding from the MyJio app under Call Settings > Call Forwarding, which allows you to set specific time periods for automatic activation.",0.7,5,AG-143
JIO-T1072,CUST-6618,2025-03-16,Data Services,Media Sharing,Medium,"I'm unable to send videos via WhatsApp even though I have sufficient data balance","This is typically related to APN configuration or data throttling. Our diagnostics show your connection is not throttled, so it's likely an APN issue. To fix: 1) Go to Settings > Mobile Network > Access Point Names > select or create 'jionet', 2) Ensure MMS settings are properly configured. For WhatsApp specifically, check your WhatsApp settings for any media download restrictions. Also check if the video size exceeds WhatsApp limits (typically 16MB). If needed, try using Jio Switch app for larger file transfers which uses direct Wi-Fi connection between devices.",1.3,4,AG-135
JIO-T1073,CUST-9085,2025-03-17,Network,Voicemail Setup,Low,"How do I set up voicemail on my Jio number?","Voicemail is available on all Jio connections at no additional charge. To activate: 1) Dial *86# from your Jio number, 2) Follow voice prompts to set up your greeting and PIN, 3) To check voicemail messages later, dial *123# or call 55100 from your Jio number. You can also manage voicemail settings including notification preferences through the MyJio app under Call Settings > Voicemail. By default, calls will divert to voicemail after 30 seconds of ringing with no answer, but you can customize this timing in the settings.",0.9,5,AG-117
JIO-T1074,CUST-3827,2025-03-18,Billing,Usage Alerts,Medium,"I keep exceeding my data limit without realizing it. Are there any alerts I can set up?","We've activated data usage alerts for your account at 75%, 90%, and 100% of your daily limit. You'll receive SMS notifications when you reach these thresholds. Additionally, you can set custom alerts through: 1) MyJio app > Usage > Set Alert, 2) Choose your preferred notification percentage and method (SMS/email/app notification). We've also enabled the 'Data Saver' feature on your account which automatically optimizes video streaming quality to conserve data. You can monitor your real-time usage through the MyJio app widget on your home screen.",0.8,5,AG-124
JIO-T1075,CUST-7543,2025-03-19,Account,Language Preference,Low,"How do I change the language in my Jio app and SMS notifications to Hindi?","We've updated your language preference from English to Hindi for all communications. This change affects: 1) MyJio app interface, 2) SMS notifications, 3) Customer support interaction language preference, 4) Bills and statements. The change in app interface will take effect immediately after you force close and reopen the app. For SMS and other communications, the change will be effective within 24 hours. You can switch between 15 different regional languages anytime through MyJio app > Profile > Language Settings.",0.5,5,AG-151
JIO-T1076,CUST-1382,2025-03-20,Technical,Device Troubleshooting,High,"My phone says 'SIM not provisioned' suddenly even though my plan is active","This error typically indicates an issue with SIM registration on the network rather than a billing or plan problem. Our diagnostics show your SIM is active but experiencing registration issues. Try these steps: 1) Remove and reinsert your SIM card ensuring it's properly seated, 2) Restart your device in airplane mode, then disable airplane mode, 3) Try the SIM in another device if possible to determine if it's a SIM or device issue. We've also sent a network refresh signal to your SIM which should re-establish proper registration. If these steps don't resolve the issue, your SIM card may need replacement.",1.9,4,AG-139
JIO-T1077,CUST-5761,2025-03-21,Data Services,Content Filter,Medium,"How do I set up parental controls for my child's Jio connection?","For comprehensive parental controls on your child's connection: 1) Log into MyJio app using your parental account, 2) Go to Connected Accounts > Select Child's Number > Parental Controls, 3) Configure content filtering levels (Low/Medium/High), 4) Set usage time restrictions if desired, 5) Block specific websites or applications as needed. You can also restrict premium purchases and set data usage limits. These controls take effect immediately and can be modified anytime. For JioCinema and other content apps, you can set age-appropriate content filters individually within each application's settings.",1.1,5,AG-123
JIO-T1078,CUST-8935,2025-03-22,Network,Emergency Services,High,"I tried calling 100 (police) during an emergency but the call failed despite having network coverage","This is concerning as emergency numbers should work even with minimal signal. We've verified that your account has no restrictions for emergency services. The issue appears to be a temporary routing problem that has now been fixed. As an immediate measure: 1) We've optimized your emergency call routing settings, 2) Added priority flagging to your number for emergency calls, 3) Reported the incident to our network operations team to prevent recurrence. Please test an emergency call to 112 (the unified emergency number) to verify it's working now. We apologize for this critical service failure.",0.8,3,AG-146
JIO-T1079,CUST-2674,2025-03-23,Billing,Bill Shock,High,"My bill this month is ₹4,892 which is significantly higher than my usual ₹599 plan","After investigating your unusually high bill, we found: 1) Your data pack expired on March 10th but you continued using data at pay-per-use rates (₹3/MB) accumulating ₹4,250 in overage charges, 2) There was no auto-renewal due to a payment failure from your registered card. As a one-time courtesy, we've waived 75% of the overage charges, reducing your bill to ₹1,661. We've also activated auto-renewal from your secondary payment method and added a data pack protection feature that will throttle speed rather than charge overage if this happens again.",2.2,4,AG-154
JIO-T1080,CUST-6159,2025-03-24,Account,Travel Notice,Low,"Do I need to inform Jio before traveling internationally to ensure my phone works abroad?","You don't need to explicitly inform us about international travel, but we recommend: 1) Activating an international roaming pack at least 24 hours before departure through the MyJio app, 2) Ensuring your bill payments are up-to-date to avoid service interruptions, 3) Enabling international roaming in your phone settings. Based on your destination (United States, from your message), we recommend our 'USA Travel Pack' at ₹1999 for 10 days which includes 10GB data, unlimited incoming calls, 100 minutes outgoing calls, and 100 SMS. Without a pack, standard roaming rates are significantly higher.",0.7,5,AG-116
JIO-T1081,CUST-9721,2025-03-25,Technical,Conference Calling,Medium,"How many people can I add to a conference call on my Jio connection?","Jio supports up to 6-way conference calls on regular voice connections. To set up a conference call: 1) Make the first call normally, 2) Once connected, tap 'Add Call' or the equivalent button on your phone, 3) Make the second call, then tap 'Merge' or 'Conference', 4) Repeat for additional participants. For larger professional conference needs, we recommend using JioMeet which supports up to 100 participants on the free plan. Voice quality during conference calls depends on network conditions for all participants, so a strong signal is recommended.",0.9,5,AG-134
JIO-T1082,CUST-3298,2025-03-26,Data Services,JioFiber Smart Home,High,"My JioFiber-connected smart home devices stopped working suddenly","Our diagnostics show your JioFiber router is online but has an issue with the local network configuration. Specifically, the DHCP server that assigns IP addresses to your smart devices has encountered an error. Our technical team has remotely reset your router's DHCP settings which should resolve the issue immediately. Please: 1) Restart your router by unplugging it for 10 seconds then plugging it back in, 2) Restart your smart home hub if you use one, 3) Check if devices reconnect within 5-10 minutes. If issues persist, we'll schedule a technician visit at no charge within 24 hours.",1.5,5,AG-155
JIO-T1083,CUST-7036,2025-03-27,Network,SIM Swap,High,"I think someone has swapped my SIM card without my knowledge as I'm not receiving calls or SMS","This is a serious security concern. We've immediately suspended your SIM to prevent potential misuse. Our verification shows an unauthorized SIM swap request was processed yesterday through an online channel. We've: 1) Blocked the new SIM card, 2) Initiated a security investigation, 3) Added extra verification requirements to your account. Please visit a Jio Store urgently with your ID proof to get a new SIM card and reset your security credentials. We also recommend changing passwords for any services that use SMS-based authentication. We've reported this to our fraud prevention team.",0.5,5,AG-127
JIO-T1084,CUST-1457,2025-03-28,Billing,Prepaid to Postpaid,Medium,"I want to convert my prepaid connection to postpaid for easier bill management","We can convert your prepaid connection to postpaid while keeping the same number. Based on your current usage (approximately 1.5GB/day and mostly evening calls), we recommend our ₹599 postpaid plan which includes 100GB monthly data (rollover allowed up to 200GB) and unlimited calls. To proceed: 1) Visit any Jio Store with your ID proof, 2) Complete the postpaid application form, 3) Choose your billing date preference. The conversion takes 24-48 hours, during which service continues uninterrupted. Your unused prepaid balance will be transferred as credit to your first postpaid bill.",1.3,5,AG-129
JIO-T1085,CUST-5892,2025-03-29,Account,Account Merger,Low,"I have two separate Jio accounts. Can I merge them into one?","While we can't fully merge two separate accounts, we can link them for simplified management. Options available: 1) Primary-Secondary linking: One account becomes primary with consolidated billing while both maintain separate plans, 2) Family plan conversion: Convert both numbers to our family plan for shared benefits and single billing. Both options let you manage all services through a single login in the MyJio app. Based on your usage patterns, the Family plan option would save you approximately ₹300 monthly. Visit a Jio Store with ID proof and both SIM cards to complete either process.",1.6,4,AG-140
JIO-T1086,CUST-8513,2025-03-30,Technical,5G Configuration,Medium,"I bought a 5G phone but can't see the 5G network option in my settings","For accessing Jio 5G on your new device, please check: 1) Your area has 5G coverage (checking MyJio app > Network Analyzer confirms your locality has 5G), 2) Your phone has the latest software update installed, 3) Correct APN settings ('jionet'), 4) 5G is enabled in network settings (Settings > Mobile Network > Network Mode should have 5G option). We've sent a carrier configuration update to your number. Please restart your phone after receiving this SMS. Our records show your device model (Xiaomi 13T) is compatible with Jio 5G bands, so once these settings are corrected, you should connect automatically.",1.0,4,AG-148
JIO-T1087,CUST-2031,2025-03-31,Data Services,Digital Payments,Low,"I'm having trouble linking my Jio number to UPI for digital payments","The UPI linking issue is due to a mismatch between your name in our records and your bank account name. For successful UPI linking: 1) Ensure the name in your Jio account exactly matches your bank records (including initials and spelling), 2) Verify your mobile number is registered with your bank account, 3) Complete the pending KYC verification for your JioMoney wallet. We've updated your name format in our system to match your bank records (added your middle name). Please try linking again after 2 hours when these changes propagate through the system.",1.2,5,AG-113
JIO-T1088,CUST-5647,2025-04-01,Network,Coverage Map,Low,"Where can I check Jio's coverage map before traveling to remote areas?","You can access Jio's interactive coverage map through: 1) MyJio app > Network > Coverage Map, 2) Jio website under Network section. The map shows 2G/3G/4G/5G coverage with color coding for signal strength. For your mentioned destination (Spiti Valley, Himachal Pradesh), we have coverage in main villages but intermittent service in remote trekking areas. We recommend downloading offline maps and content before traveling to areas marked with partial coverage. The map is updated monthly and includes planned expansion areas. You can also download specific region maps for offline reference.",0.8,5,AG-122
JIO-T1089,CUST-8970,2025-04-02,Billing,Bill Cycle Change,Medium,"I want to change my billing date to match my salary date (1st of month instead of 15th)","We've changed your billing cycle as requested from the 15th to the 1st of each month. This change will take effect after your current billing cycle ends. Your next bill will be a pro-rated amount covering April 15th to April 30th (16 days), and subsequent bills will run from the 1st to the end of each month. This adjustment doesn't affect your plan benefits or pricing. Your automatic payment will now process on the 1st of each month starting May 1st. You can view your updated billing details in the MyJio app under Billing > Billing Preferences.",0.6,5,AG-126
JIO-T1090,CUST-3712,2025-04-03,Account,Legal Request,High,"I need my call records for the past month for a police investigation","For legal requests involving call records, we require formal documentation: 1) A formal request letter from the investigating police officer on official letterhead, 2) A copy of the FIR (First Information Report) mentioning your number, 3) Your written consent and ID proof. Once these documents are submitted at any Jio Store or uploaded through our secure portal, we can process the request within 48 hours as per regulatory guidelines. Please note that we can only provide metadata (call times, duration, numbers) but not call content or recordings as those aren't stored as per privacy regulations.",1.4,4,AG-138
JIO-T1091,CUST-7185,2025-04-04,Technical,iPhone Configuration,Medium,"My new iPhone shows 'Cellular data plan cannot be added' when trying to configure my Jio plan","This error typically occurs when the carrier settings aren't properly updated. Please try: 1) Go to Settings > General > About and wait 30 seconds for carrier update notification, 2) If no notification appears, connect to Wi-Fi and check for iOS updates, 3) Remove and reinsert your SIM card ensuring it's in the correct orientation. We've also pushed a carrier configuration update to your number. Restart your phone with the SIM inserted for changes to take effect. The latest iOS version (18.4.1) has specific Jio carrier settings that should resolve this issue.",1.1,4,AG-133
JIO-T1092,CUST-1954,2025-04-05,Data Services,Entertainment Benefits,Low,"What free subscriptions come with my Jio plan?","Your current plan (₹999) includes complimentary access to: 1) JioCinema Premium (including HBO content), 2) JioSaavn Pro, 3) JioTV Premium (140+ HD channels), 4) JioCloud 100GB storage, and 5) Disney+ Hotstar Mobile. To access these benefits: 1) Download each app, 2) Log in with your Jio number, 3) OTP verification will automatically detect and apply your benefits. These subscriptions remain active as long as your plan is regularly renewed. Additionally, you have 3 complimentary movie tickets per month via BookMyShow which can be accessed in the 'My Coupons' section of the MyJio app.",0.7,5,AG-119
JIO-T1093,CUST-5319,2025-04-06,Network,Rural Connectivity,Medium,"I'm moving to a village in Rajasthan. Will my Jio connection work there?","Based on the village location you provided (near Pushkar), we have verified that Jio has strong 4G coverage in that area with two dedicated towers providing service. 5G rollout is planned for Q3 2025. For rural areas, we recommend: 1) Keep a Jio network booster device (₹1500) which enhances signal in low coverage zones, 2) Download the MyJio app's offline version before traveling, 3) In case of weak indoor signal, try using Wi-Fi calling when connected to any Wi-Fi network. Our rural network expansion program is actively adding coverage in Rajasthan with 200+ new towers planned this year.",1.3,5,AG-125
JIO-T1094,CUST-8697,2025-04-07,Billing,GST Input Credit,Medium,"I need a GST invoice for my business account for input tax credit purposes","We've generated a GST-compliant invoice for your business account with your registered GSTIN (29AAICJ1234A1ZP). The invoice has been emailed to your registered business email and is also available in the MyJio app under Billing > Tax Invoices. These invoices are eligible for input tax credit and include all required fields as per GST regulations. To ensure you receive proper GST invoices automatically in the future, we've updated your account type from 'Individual' to 'Business'. Please verify the GSTIN details in the MyJio app to ensure accuracy for future invoices.",0.9,5,AG-131
JIO-T1095,CUST-4126,2025-04-08,Data Services,JioFiber Speed,High,"My JioFiber connection is showing significantly lower speeds than what I'm paying for. I subscribed to the 300Mbps plan but only getting around 50-60Mbps even with direct LAN connection","Our diagnostics show signal attenuation in your fiber line. We've detected micro-bends at two junction points that are causing signal loss. We've scheduled a technician visit for tomorrow between 9 AM-12 PM to replace the affected cable segments. In the meantime, we've adjusted your signal amplification remotely which should improve speeds to around 150Mbps temporarily. Once the physical cable is replaced, you should achieve the full 300Mbps consistently. As compensation for the inconvenience, we've added 15 days of complementary service to your account.",2.4,4,AG-157
JIO-T1096,CUST-7534,2025-04-09,Billing,International Charges,Medium,"I found unknown international charges on my bill even though I haven't made any international calls","Upon investigation, we found these charges were from WhatsApp calls to international numbers which were routed through our network rather than over the internet due to a configuration issue in your phone. This happens when 'Use Less Data for Calls' is disabled in WhatsApp settings. We've reversed the charges totaling ₹785 as a goodwill gesture and added a notification flag to your account to alert you if similar patterns emerge in the future. Please check your WhatsApp settings and ensure Wi-Fi or mobile data is properly connected before making international calls through any app.",1.2,5,AG-128
JIO-T1097,CUST-2895,2025-04-10,Account,Number Reservation,Low,"I'm going abroad for a year. How can I keep my Jio number without paying full monthly charges?","For long-term travel, we recommend our 'Number Reservation' plan which costs ₹99 for 180 days and keeps your number active with minimal services (incoming SMS only). To activate: 1) Go to MyJio app > Plans > Special Plans > Number Reservation, 2) Select duration (180 or 365 days), 3) Make the payment. Your number will remain active but with limited functionality. Upon return, you can reactivate full services instantly through the app. We've noted your travel dates on your account to prevent any automatic deactivation. This plan can be extended once if your trip exceeds the initial period.",0.8,5,AG-134
JIO-T1098,CUST-6273,2025-04-11,Technical,Wi-Fi Extender,Medium,"My JioFiber Wi-Fi doesn't reach the second floor of my house properly","Based on your home layout (2-story, approximately 2500 sq ft), we recommend adding a Jio Mesh Wi-Fi extender to your setup. Our diagnostics show your main router is positioned in the ground floor living room, creating signal shadows on the upper floor. We can offer a Jio Mesh system at ₹3499 (or ₹299/month rental) with free professional installation. The mesh system creates a seamless network with the same SSID throughout your home. As an immediate solution, try repositioning your current router to a more central location, preferably on the staircase area or first-floor ceiling to improve coverage until the mesh system is installed.",1.8,4,AG-141
JIO-T1099,CUST-9351,2025-04-12,Network,Tower Request,High,"There's poor network coverage in our new residential society. Can Jio install a tower here?","Thank you for bringing this coverage gap to our attention. We've registered a formal Tower Request (ID: TR-89765) for your location and conducted an initial signal survey. The area qualifies for coverage enhancement under our network expansion program. Our site acquisition team will contact your residential society management within 72 hours to discuss installation possibilities. Typically, the process takes 45-60 days from approval to installation. In the meantime, we've boosted signal strength from neighboring towers to provide temporary improvement and can offer a complimentary Signal Booster device for your residence until the new tower is operational.",3.2,5,AG-152
JIO-T1100,CUST-3478,2025-04-13,Billing,Digital Bill,Low,"I want to stop receiving paper bills and switch completely to digital bills","We've updated your billing preference from paper to digital-only as requested. You'll now receive bills via: 1) Email to your registered address, 2) SMS with bill link, 3) MyJio app notification. Your last paper bill will be the current cycle, after which only digital copies will be generated. You can access up to 12 months of bill history through the MyJio app anytime. This change also enrolls you in our Go Green initiative which plants a tree for every 100 customers who switch to paperless billing. You'll receive a certificate of your contribution via email within 14 days.",0.5,5,AG-117
JIO-T1101,CUST-7912,2025-04-14,Data Services,Cloud Storage,Medium,"I'm unable to access my JioCloud storage and getting a 'storage limit exceeded' error even though I should have 100GB space","Our system check shows your JioCloud storage has numerous duplicate files and failed backup attempts consuming space. Your actual usage is 97.8GB of your 100GB quota, primarily from automatic photo backups from multiple devices. We've temporarily increased your limit to 120GB to allow access, and our backend team has cleaned up 8GB of corrupted temporary files. For long-term solution: 1) Remove unnecessary device backups in JioCloud settings, 2) Use the 'Duplicate Finder' tool to identify and remove duplicates, 3) Consider upgrading to our 500GB plan at ₹199/month. Your storage will revert to 100GB after 14 days unless upgraded.",1.7,4,AG-139
JIO-T1102,CUST-1563,2025-04-15,Account,Device Change,Low,"I've changed my phone. Do I need to update anything in my Jio account?","While no formal update is required when changing devices, we recommend: 1) Reinstalling and setting up the MyJio app on your new device, 2) Verifying that VoLTE/VoWiFi is properly configured, 3) Ensuring carrier settings are updated (especially important for iPhones). We've sent a configuration SMS to help with automatic setup. We've also noted your new device (Samsung Galaxy S25) in our system for troubleshooting purposes. If you've switched from Android to iOS or vice versa, you might need to reconfigure certain Jio services like JioTV and JioCinema by downloading the appropriate app version.",0.6,5,AG-123
JIO-T1103,CUST-5847,2025-04-16,Network,Femtocell Request,High,"I work from home and need stable connectivity for video calls in my basement office","Based on your situation, we recommend our JioFi Femtocell solution which creates a small, dedicated cellular zone in signal-challenged areas. The device connects to your existing broadband and creates a Jio 4G/5G bubble with approximately 2000 sq ft coverage. It's available for ₹4999 (one-time) or ₹399/month rental with free installation. Given your work-from-home requirements and verified signal issues at your location, we've approved this under our Priority Customer program at a discounted rate of ₹2999. A technician can install this within 48 hours. The device supports up to 8 simultaneous connections and includes backup battery for power outages.",2.1,5,AG-147
JIO-T1104,CUST-8236,2025-04-17,Technical,Advanced Network Settings,Medium,"My online gaming has high ping and latency despite good download speed on Jio Fiber","Gaming requires not just speed but low latency and stable connections. After analyzing your connection, we've identified minor packet loss during peak hours. We've applied these optimizations to your account: 1) Configured your line for reduced latency rather than maximum throughput, 2) Assigned a static IP address to prevent IP reassignment delays, 3) Optimized DNS settings for faster game server connections. These changes should reduce your ping by approximately 30-40%. For best results, we also recommend connecting your gaming system via ethernet rather than Wi-Fi and adjusting your router's QoS settings to prioritize gaming traffic. These changes are already active on your connection.",1.4,5,AG-135
JIO-T1105,CUST-4592,2025-04-18,Billing,Plan Recommendation,Low,"I use about 1.5GB data daily and make mostly evening calls. Which plan would be most economical?","Based on your usage pattern, we recommend our ₹479 plan which includes 1.5GB daily data, unlimited calls, and 100 SMS/day with 56 days validity. This effectively costs ₹256/month compared to the ₹299 monthly plan with similar benefits but only 28-day validity. You'll save approximately ₹520 annually with this option. Since you mentioned evening calls, this plan also includes free night data (12AM-6AM) that doesn't count against your daily quota - perfect for downloading large updates or streaming during off-peak hours. Would you like me to help you switch to this plan effective from your next renewal date?",0.9,5,AG-121
JIO-T1106,CUST-9875,2025-04-19,Account,Address Proof Update,Medium,"I need to update my address proof document as I've relocated to a new city","For address update across all Jio services, we require current and valid address proof. You can complete this process through: 1) Online method - Upload new address proof (Aadhaar/Passport/Utility Bill) through MyJio app > Profile > Update KYC, then complete video KYC verification, 2) Offline method - Visit any Jio Store with original documents. Since you've moved cities (from Mumbai to Bangalore), we've also updated your service circle which may affect certain regional content and offers. We've placed a service continuity flag on your account to ensure uninterrupted service during this transition. Your update should be processed within 24 hours after document verification.",1.5,4,AG-143
JIO-T1107,CUST-3214,2025-04-20,Data Services,Home Security Integration,Medium,"I've purchased Jio Security Cameras but can't connect them to my JioFiber network","The connection issue with your Jio Security Cameras appears to be related to your router's dual-band configuration. These cameras operate only on the 2.4GHz band, but your router is currently optimized for 5GHz performance. We've remotely adjusted your router settings to: 1) Strengthen the 2.4GHz signal, 2) Create a separate SSID for IoT devices, 3) Configure proper DHCP settings for camera recognition. Please power cycle both your router and cameras, then connect the cameras to the new 'JioIoT' network that should appear in the list. For optimal security coverage, we've also activated the complimentary 7-day cloud storage for motion-detected recordings included with your JioFiber subscription.",1.3,5,AG-136
JIO-T1108,CUST-7659,2025-04-21,Network,Emergency Backup,Low,"Does Jio provide any solution for internet connectivity during power outages?","For power outage situations, we offer several solutions: 1) JioFi Portable Hotspot (₹2499) with 8-hour battery life that converts 4G/5G signals to Wi-Fi, 2) Battery Backup Unit for JioFiber routers (₹1999) providing 4-hour continued operation during power cuts, 3) For critical requirements, our Jio Business Continuity solution with automatic 4G failover when fiber connectivity is down. Based on your area's power situation (frequent but short outages), we recommend the Battery Backup Unit as the most cost-effective solution. We can offer this at a 20% discount (₹1599) as you've been a Jio customer for over 3 years. Installation is free and can be scheduled at your convenience.",0.8,5,AG-114
JIO-T1109,CUST-1732,2025-04-22,Technical,Smart Home Integration,Medium,"I want to control my smart home devices through my Jio voice remote","Your JioFiber connection and Set-Top Box support smart home integration through the JioHomeHub feature. To enable this functionality: 1) Update your Jio Set-Top Box to the latest firmware through Settings > System > Software Update, 2) In JioTV interface, navigate to Apps > JioHomeHub > Add Devices, 3) Follow the pairing instructions for your specific smart devices (we support Google Home, Amazon Alexa, Samsung SmartThings, and generic devices using ZigBee/Z-Wave protocols with our JioLink Bridge available for ₹1299). Once configured, you can use voice commands through your Jio remote by pressing the mic button and saying commands like 'Turn on living room lights' or 'Set temperature to 22 degrees'.",1.7,4,AG-126
JIO-T1110,CUST-5341,2025-04-23,Billing,Premium Number Charge,High,"I was charged ₹3000 for a 'premium number' but was never informed about this cost","We've investigated this charge and found an error in our communication process. While you did select a premium pattern number (ending with 9999), our representative failed to clearly inform you about the associated one-time charge of ₹3000. Due to this communication gap and as per our service commitment policy, we've processed a complete refund of the premium number charge back to your original payment method. The refund will reflect in 5-7 business days. You can keep the premium number at no cost. We've also addressed this training gap with our team to ensure transparent communication about all charges during the sign-up process.",1.2,5,AG-151
JIO-T1111,CUST-8796,2025-04-24,Account,Corporate to Individual,Medium,"I'm leaving my company and need to transfer my corporate Jio connection to a personal account","For corporate to personal transfers, we need: 1) No Objection Certificate from your employer (we've sent the template to your email), 2) Your ID and address proof for the new personal account. Since this is a corporate-provided number, you'll need to select a new plan from our consumer portfolio to replace your corporate plan. Based on your current usage (average 2GB/day, 45 minutes calls), we recommend our ₹599 plan with 2GB/day and unlimited calls. We've initiated the transfer process which takes 48-72 hours to complete. During this transition, your service will remain active without interruption. Your corporate benefits will continue until the transfer is complete, after which your new personal plan will activate.",2.0,4,AG-130
JIO-T1112,CUST-2983,2025-04-25,Data Services,JioTV Channel Addition,Low,"I can't find Sony Sports channels on my JioTV app though they should be included in my plan","We identified that your JioTV app hasn't updated its channel list after our recent addition of Sony Sports Network. To resolve this: 1) Force stop the JioTV app, 2) Clear app cache through device settings, 3) Update to the latest version from app store, 4) Log in again. We've also refreshed your subscription entitlements from our backend. The Sony Sports channels (Sony Ten 1, 2, 3, etc.) should appear under the Sports category after these steps. These channels are indeed included in your current plan at no extra cost. If you're specifically looking for premium events like UEFA Champions League, please check both Sony LIV section and Sports section as some special events have dedicated categories.",0.7,5,AG-118
JIO-T1113,CUST-6457,2025-04-26,Network,Enterprise Setup,High,"We need to set up Jio connections for our entire office of 25 employees with centralized management","For your business requirement, we recommend our Jio Business Enterprise solution which includes: 1) 25 corporate connections with pooled data (500GB shared) and unlimited calls, 2) Centralized admin panel for managing all connections, setting data caps, and monitoring usage, 3) Dedicated Account Manager for priority support, 4) Unified billing with GST input credit documentation. The monthly cost would be ₹12,500 (₹500 per connection) which offers a 20% savings compared to individual plans. We can deploy this within 3 business days with bulk SIM activation and optional corporate APN for enhanced security. Our Business Solutions team will contact you within 24 hours to discuss specific requirements and arrange for documentation.",1.8,5,AG-145
JIO-T1114,CUST-9124,2025-04-27,Technical,IP Address Issue,Medium,"I need a static IP address for working from home with my company's VPN","We can provide a static IP address for your JioFiber connection to facilitate stable VPN access. There are two options: 1) Basic Static IP at ₹199/month which provides a fixed IPv4 address that remains constant, 2) Business Static IP at ₹499/month which includes a fixed IPv4 address plus reverse DNS configuration and reduced contention ratio for better performance. Based on your work-from-home requirements, the Basic Static IP should be sufficient for VPN connectivity. The change can be implemented within 4 hours of confirmation. Please note that you'll need to reconfigure your VPN client after the static IP is assigned. Would you like us to proceed with activating the Basic Static IP service?",1.0,5,AG-132
